,Unnamed: 0,Product,Price,Website
0,0,Aire Acondicionado Kernig smart 18000 btu frío/calor,3699,https://www.dismac.com.bo/dsaf-18hrn1-wi.html
1,1,Aire Acondicionado Oster Split 12000 BTU Blanco Frio y Calor,2999,https://www.dismac.com.bo/os-bac012ctw-in.html
2,2,Aire Acondicionado Oster Split 18000 BTU Blanco Frio y Calor,4199,https://www.dismac.com.bo/os-bac018ctw-in.html
3,3,Aire Acondicionado Oster Split 24000 BTU Blanco Frio y Calor,5499,https://www.dismac.com.bo/os-bac024ctw-in.html
4,4,Aire Acondicionado Kernig smart 24000 btu frío/calor,4799,https://www.dismac.com.bo/ar18tseaawk-zs.html
5,5,Aire Acondicionado Samsung split 18000 btu frío/calor,4799,https://www.dismac.com.bo/ar24tseaawk-zs.html
6,6,Aire Acondicionado Samsung split 24000 btu frío/calor,5999,https://www.dismac.com.bo/dsaf-24hrn1-wi.html
7,7,Aire Acondicionado TCL split 9000 btu frío/calor,2089,https://www.dismac.com.bo/ar18tqhqbwk-zs.html
8,8,Aire Acondicionado Inverter Wind-Free 18000Btu Frío/calor,7699,https://www.dismac.com.bo/ar24tqhqbwk-zs.html
9,9,Aire Acondicionado Samsung Inverter Wind-Free 24000Btu frí/calor,9999,https://www.dismac.com.bo/tac-09chsa.html
10,10,Aire acondicionado Samsung Inverter Wind-Free 12000BTU frío/calor,6499,https://www.dismac.com.bo/cs-12h3a-1.html
11,11,Aire Acondicionado Samsung split 12000 btu frío/calor,4299,https://www.dismac.com.bo/combo-aire-acondicionado-samsung-split-12000-btu-frio-calor-banco-de-trabajo-para-herramientas-maral-con-casco-2019-ar12tqhqbwk-zs-combo.html
12,12,Aire Acondicionado Samsung Digital Inverter 12000 btu frío/calor,4199,https://www.dismac.com.bo/combo-aire-acondicionado-samsung-split-18000-btu-frio-calor-centro-deportivo-maral-2031-ar18tqhqbwk-zs-combo.html
13,13,Aire Acondicionado Samsung Digital Inverter 18000 btu frío/calor,5699,https://www.dismac.com.bo/combo-aire-acondicionado-samsung-split-24000-btu-frio-calor-motosierra-de-juguete-husqvarna-kit-de-3-pza-ar24tqhqbwk-zs-combo.html
14,14,Aire Acondicionado Shinco premium smart 9000 btu frío/calor,2379,https://www.dismac.com.bo/ar12tseaawk-zs.html
15,15,Aire Acondicionado Samsung Digital Inverter 24000 btu frío/calor,6699,https://www.dismac.com.bo/ar12tqhqbwk-zs.html
20,20,Aire Acondicionado TCL inverter de 24000 btu frío/calor,5909,https://www.dismac.com.bo/aire-acondicionado-tcl-inverter-de-24000-btu-frio-calor-tac-24chsai-elite.html
21,21,Aire Acondicionado Gree split 18000 btu Inverter frío/calor,4499,https://www.dismac.com.bo/aire-acondicionado-gree-split-18000-btu-inverter-frio-calor-gwh18qb-k3dna6d.html
22,22,Aire Acondicionado Shinco premium smart 24000 btu frío/calor,3799,https://www.dismac.com.bo/aire-acondicionado-gree-split-9000-btu-inverter-frio-calor-gwh09qb-k3dna6d.html
23,23,Aire Acondicionado Gree Pular split 24000 btu Inverter  frío/calor,5499,https://www.dismac.com.bo/aire-acondicionado-gree-split-24000-btu-inverter-frio-calor-gwh24qb-k3dna6d.html
24,24,Aire Acondicionado Gree split 9000 btu Inverter frío/calor,3199,https://www.dismac.com.bo/aire-acondicionado-shinco-premium-smart-24000-btu-frio-calor-sh-24wp1.html
25,25,Aire Acondicionado Gree split 24000 btu Inverter frío/calor,5999,https://www.dismac.com.bo/aire-acondicionado-gree-pular-split-24000-btu-inverter-frio-calor-gwh24age-k3dna1h-i.html
26,26,Aire Acondicionado Gree Pular split 9000 btu Inverter  frío/calor,2999,https://www.dismac.com.bo/aire-acondicionado-gree-pular-split-9000-btu-inverter-frio-calor-gwh09agb-k3dna1e-i.html
27,27,Aire Acondicionado Kernig split 24000 btu frío/calor,4599,https://www.dismac.com.bo/dsaf-24hrn1.html
28,28,Aire Acondicionado Gree Bora split 24000 btu frío/calor,4399,https://www.dismac.com.bo/aire-acondicionado-gree-bora-split-24000-btu-frio-calor-gwh24aad-k3nna3a-i.html
